id,BookTitle,BookAltTitle,BookYear,BookLink,Author,FilmTitle,FilmLink,FilmYear,ISBN
830,The Devils,The Possessed,1872,/wiki/The_Possessed_(novel),Fyodor Dostoyevsky,La femme publique,/wiki/La_femme_publique,1984,
831,The Devils of Loudun,Die Teufel von Loudun,1969,/wiki/The_Devils_of_Loudun,,The Devils,/wiki/The_Devils_(film),1971,
832,Le Diable au corps,The Devil in the Flesh,1923,/wiki/Le_Diable_au_corps_(novel),Raymond Radiguet,Devil in the Flesh,/wiki/Devil_in_the_Flesh_(1947_film),1947,
833,Le Diable au corps,The Devil in the Flesh,1923,/wiki/Le_Diable_au_corps_(novel),Raymond Radiguet,Devil in the Flesh,/wiki/Devil_in_the_Flesh_(1986_film),1986,
834,Le Diable au corps,The Devil in the Flesh,1923,/wiki/Le_Diable_au_corps_(novel),Raymond Radiguet,Devil in the Flesh,/wiki/Devil_in_the_Flesh_(1998_film),1998,
835,The Diamond Hunters,,1971,,Wilbur Smith,The Kingfisher Caper,/wiki/The_Kingfisher_Caper,1975,
836,Diamonds Are Forever,,1956,/wiki/Diamonds_Are_Forever_(novel),Ian Fleming,Diamonds Are Forever,/wiki/Diamonds_Are_Forever_(film),1971,
837,The Dice of God,,1962,,,The Glory Guys,/wiki/The_Glory_Guys,1965,
838,The Dirty Dozen,,1965,,E. M. Nathanson,The Dirty Dozen,/wiki/The_Dirty_Dozen,1967,
839,Dirty Weekend,,1991,/wiki/Dirty_Weekend_(novel),Helen Zahavi,Dirty Weekend,/wiki/Dirty_Weekend_(1993_film),1993,978-0-333-54723-6
840,Disappearing Acts,,1989,,Terry McMillan,Disappearing Acts,/wiki/Disappearing_Acts,2000,
841,Disclosure,,1994,/wiki/Disclosure_(novel),Michael Crichton,Disclosure,/wiki/Disclosure_(film),1994,0-679-41945-4
842,The Disorientated Man,,1967,,,Scream and Scream Again,/wiki/Scream_and_Scream_Again,1970,
843,Il disprezzo,,1954,,Alberto Moravia,Contempt,/wiki/Contempt_(film),1963,
844,A Distant Trumpet,,1951,,Paul Horgan,A Distant Trumpet,/wiki/A_Distant_Trumpet,1964,
845,Divine Secrets of the Ya-Ya Sisterhood,,1996,/wiki/Divine_Secrets_of_the_Ya-Ya_Sisterhood,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,/wiki/Divine_Secrets_of_the_Ya-Ya_Sisterhood_(film),2002,0-06-017328-9
846,Le Divorce,,1997,,Diane Johnson,Le Divorce,/wiki/Le_Divorce,2003,
847,Do Androids Dream of Electric Sheep?,,1967,/wiki/Do_Androids_Dream_of_Electric_Sheep%3F,Philip K. Dick,Blade Runner,/wiki/Blade_Runner,1982,
848,Doctor in the House,,1952,,Richard Gordon,Doctor in the House,/wiki/Doctor_in_the_House,1954,
849,Doctor Slaughter,,1984,/wiki/Doctor_Slaughter,Paul Theroux,Half Moon Street,/wiki/Half_Moon_Street_(film),1986,
850,Doctor Zhivago,,1957,/wiki/Doctor_Zhivago_(novel),Boris Pasternak,Doctor Zhivago,/wiki/Doctor_Zhivago_(1965_film),1965,0-679-77438-6
851,Doctor Zhivago,,1957,/wiki/Doctor_Zhivago_(novel),Boris Pasternak,Doctor Zhivago,/wiki/Doctor_Zhivago_(2002_miniseries),2002,0-679-77438-6
852,Dodsworth,,1929,/wiki/Dodsworth_(novel),Sinclair Lewis,Dodsworth,/wiki/Dodsworth_(film),1936,
853,The Dogs of War,,1974,/wiki/The_Dogs_of_War_(novel),Frederick Forsyth,The Dogs of War,/wiki/The_Dogs_of_War_(film),1981,
854,Dog Soldiers,,1974,/wiki/Dog_Soldiers_(novel),Robert Stone,Who'll Stop the Rain,/wiki/Who%27ll_Stop_the_Rain,1978,0-395-18481-9
855,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Adventures of the Ingenious Hidalgo Don Quixote,/w/index.php?title=Adventures_of_the_Ingenious_Hidalgo_Don_Quixote&action=edit&redlink=1,1903,
856,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quijote,/w/index.php?title=Don_Quixote_(1908_film)&action=edit&redlink=1,1908,
857,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quichotte,/w/index.php?title=Don_Quixote_(1908_French_film)&action=edit&redlink=1,1908,
858,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote,/w/index.php?title=Don_Quixote_(1915_film)&action=edit&redlink=1,1915,
859,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote,/wiki/Don_Quixote_(1923_film),1923,
860,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote,/w/index.php?title=Don_Quixote_(1927_film)&action=edit&redlink=1,1927,
861,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote (1933 film),/wiki/Don_Quixote_(1933_film),1933,
862,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quichotte,/wiki/Don_Quixote_(1933_film),1933,
863,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quichotte,/w/index.php?title=Don_Quixote_(1933_French_film)&action=edit&redlink=1,1933,
864,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote,/wiki/ComiColor_Cartoons#Don_Quixote_(1934_film),1934,
865,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote de la Mancha,/wiki/Don_Quixote_de_la_Mancha_(1947_film),1947,
866,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote,/wiki/Don_Quixote_(unfinished_film),1955,
867,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote,/wiki/Don_Quixote_(1957_film),1957,
868,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote's Children,/w/index.php?title=Don_Quixote%27s_Children&action=edit&redlink=1,1965,
869,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Chisciotte e Sancho Panza,/w/index.php?title=Don_Quixote_and_Sancho_Panza_(1969_film)&action=edit&redlink=1,1969,
870,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Man of La Mancha,/wiki/Man_of_La_Mancha,1972,
871,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,The Adventures of Don Quixote,/w/index.php?title=The_Adventures_of_Don_Quixote&action=edit&redlink=1,1973,
872,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,The Amorous Adventures of Don Quixote and Sancho Panza,/w/index.php?title=The_Amorous_Adventures_of_Don_Quixote_and_Sancho_Panza&action=edit&redlink=1,1976,
873,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Chisciotte,/w/index.php?title=Don_Quixote_(1983_TV_film)&action=edit&redlink=1,1983,
874,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote of La Mancha,/wiki/Burbank_Films_Australia#List_of_works_-_Literary_Animated_Classics_-_Don_Quixote_of_La_Mancha_(1987_film),1987,
875,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quijote de Orson Welles,/w/index.php?title=Orson_Welles%27_Don_Quixote&action=edit&redlink=1,1992,
876,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote,/wiki/Don_Quixote_(2000_TV_film),2000,
877,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,"Don Quixote, Knight Errant","/w/index.php?title=Don_Quixote,_Knight_Errant&action=edit&redlink=1",2002,
878,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,Don Quixote,/wiki/Don_Quixote_(2010_film),2010,
879,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha,1605,/wiki/Don_Quixote,Miguel de Cervantes,The Man Who Killed Don Quixote,/wiki/The_Man_Who_Killed_Don_Quixote,2014,
880,Donovan's Brain,,1942,/wiki/Donovan%27s_Brain,Curt Siodmak,The Lady and the Monster,/wiki/The_Lady_and_the_Monster,1944,
881,Donovan's Brain,,1942,/wiki/Donovan%27s_Brain,Curt Siodmak,Donovan's Brain,/wiki/Donovan%27s_Brain_(film),1953,
882,Donovan's Brain,,1942,/wiki/Donovan%27s_Brain,Curt Siodmak,The Brain,/wiki/The_Brain_(1962_film),1962,
883,Don't Look and It Won't Hurt,,1971,,Richard Peck,Gas Food Lodging,/wiki/Gas_Food_Lodging,1992,
884,Don't Say a Word,,1991,/wiki/Don%27t_Say_a_Word_(novel),Andrew Klavan,Don't Say a Word,/wiki/Don%27t_Say_a_Word,2001,
885,The Dork of Cork,,1993,,Chet Raymo,Frankie Starlight,/wiki/Frankie_Starlight,1995,
886,Double Indemnity,,1936,/wiki/Double_Indemnity_(novel),James M. Cain,Double Indemnity,/wiki/Double_Indemnity_(film),1944,
887,The Double Take,,1946,,Roy Huggins,I Love Trouble,/wiki/I_Love_Trouble_(1948_film),1948,
888,Down Will Come Baby,,1993,,,Down Will Come Baby,/wiki/Down_Will_Come_Baby,1999,
889,Dracula,,1897,/wiki/Dracula,Bram Stoker,Dracula,,0,
890,The Dragon and the George,,1976,,Gordon R. Dickson,The Flight of Dragons,/wiki/The_Flight_of_Dragons,1982,
891,Dragon Seed,,1942,/wiki/Dragon_Seed_(novel),Pearl S. Buck,Dragon Seed,/wiki/Dragon_Seed_(film),1944,978-1559210331
892,Dragons of Autumn Twilight,,1984,/wiki/Dragons_of_Autumn_Twilight,Margaret Weis,Dragonlance: Dragons of Autumn Twilight,/wiki/Dragonlance:_Dragons_of_Autumn_Twilight,2008,0-88038-173-6
893,Dream Days,,1898,/wiki/Dream_Days,Kenneth Grahame,The Reluctant Dragon,/wiki/The_Reluctant_Dragon_(1941_film),1941,
894,The Dream Master,,1966,/wiki/The_Dream_Master,Roger Zelazny,Dreamscape,/wiki/Dreamscape_(1984_film),1984,
895,Dreamcatcher,,2001,/wiki/Dreamcatcher_(novel),Stephen King,Dreamcatcher,/wiki/Dreamcatcher_(2003_film),2003,978-0-7432-1138-3
896,The Drift Fence,,1933,,Zane Grey,Drift Fence,/wiki/Drift_Fence,1936,
897,Dr. No,,1958,/wiki/Dr._No_(novel),Ian Fleming,Dr. No,/wiki/Dr._No_(film),1962,
898,Drood,,2009,/wiki/Drood_(novel),Dan Simmons,Drood,/wiki/Drood_(novel)#Forthcoming_film_adaptation_from_Guillermo_del_Toro_and_Universal_Pictures,2014,978-0-316-00702-3
899,The Drowning Pool,,1950,/wiki/The_Drowning_Pool,Ross Macdonald,The Drowning Pool,/wiki/The_Drowning_Pool_(film),1975,0-679-76806-8
900,Drums Along the Mohawk,,1936,/wiki/Drums_Along_the_Mohawk_(novel),Walter D. Edmonds,Drums Along the Mohawk,/wiki/Drums_Along_the_Mohawk,1939,
901,The Drums of Jeopardy,,1920,/wiki/The_Drums_of_Jeopardy_(novel),Harold MacGrath,The Drums of Jeopardy,/wiki/The_Drums_of_Jeopardy_(1923_film),1923,
902,The Drums of Jeopardy,,1920,/wiki/The_Drums_of_Jeopardy_(novel),Harold MacGrath,The Drums of Jeopardy,/wiki/The_Drums_of_Jeopardy_(1931_film),1931,
903,The Dude Ranger,,1951,,Zane Grey,The Dude Ranger,/wiki/Zane_Grey#Films_based_on_his_novels_-_The_Dude_Ranger_(1934),1954,
904,Duel in the Sun,,1941,,Niven Busch,Duel in the Sun,/wiki/Duel_in_the_Sun_(film),1946,
905,Dune,,1965,/wiki/Dune_(novel),Frank Herbert,Dune,/wiki/Dune_(film),1984,
906,Dune,,1965,/wiki/Dune_(novel),Frank Herbert,Frank Herbert's Dune,/wiki/Frank_Herbert%27s_Dune,2000,
907,Dune,,1965,/wiki/Dune_(novel),Frank Herbert,Frank Herbert's Children of Dune,/wiki/Frank_Herbert%27s_Children_of_Dune,2003,
908,Dune,,1965,/wiki/Dune_(novel),Frank Herbert,Dune,/wiki/Dune_(film)#Proposed_upcoming_remake,0,
909,The Dying Animal,,2001,/wiki/The_Dying_Animal,Philip Roth,Elegy,/wiki/Elegy_(film),2008,0-618-13587-1
910,Dying Young,,1990,,Marti Leimbach,Dying Young,/wiki/Dying_Young,1991,
911,The Eagle Has Landed,,1975,/wiki/The_Eagle_Has_Landed_(novel),Jack Higgins,The Eagle Has Landed,/wiki/The_Eagle_Has_Landed_(film),1976,0-00-221208-0
912,The Eagle of the Ninth,,1954,/wiki/The_Eagle_of_the_Ninth,Rosemary Sutcliff,The Eagle,/wiki/The_Eagle_(2011_film),2011,
913,East of Eden,,1952,/wiki/East_of_Eden_(novel),John Steinbeck,East of Eden,/wiki/East_of_Eden_(film),1955,9780140186390
914,Eaters of the Dead,,1976,/wiki/Eaters_of_the_Dead,Michael Crichton,The 13th Warrior,/wiki/The_13th_Warrior,1999,0-394-49400-8
915,Eddie and the Cruisers,,1980,,P. F. Kluge,Eddie and the Cruisers,/wiki/Eddie_and_the_Cruisers,1983,
916,The Egyptian,Sinuhe the Egyptian,1945,/wiki/The_Egyptian,Mika Waltari,The Egyptian,/wiki/The_Egyptian_(film),1954,1-55652-441-2
917,The Egyptian Series,The Seventh Scroll,1995,,,The Seventh Scroll,/w/index.php?title=The_Seventh_Scroll_(TV_miniseries)&action=edit&redlink=1,1999,
918,Election,,1998,/wiki/Election_(novel),Tom Perrotta,Election,/wiki/Election_(1999_film),1999,0-399-14366-1
919,Elephant Walk,,1948,,Digby George Gerahty,Elephant Walk,/wiki/Elephant_Walk,1954,
920,Elles n'oublient jamais,,1993,,Christopher Frank,Elles n'oublient jamais,https://fr.wikipedia.org/wiki/Elles_n%27oublient_jamais#Film,1994,
921,Ellis Island,,1983,,Fred Mustard Stewart,Ellis Island,/wiki/Ellis_Island,1984,
922,Elmer Gantry,,1927,/wiki/Elmer_Gantry,Sinclair Lewis,Elmer Gantry,/wiki/Elmer_Gantry_(film),1960,
923,Elsk meg i morgen,Love Me Tomorrow,1999,,Ingvar Ambjørnsen,Elsk meg i morgen,/wiki/Elling#Sequel_-_Elsk_meg_i_morgen_(2005),2005,
924,Emma,,1815,/wiki/Emma_(novel),Jane Austen,Emma,/wiki/Emma_(1972_TV_serial),1972,
925,Emma,,1815,/wiki/Emma_(novel),Jane Austen,Clueless,/wiki/Clueless_(film),1995,
926,Emma,,1815,/wiki/Emma_(novel),Jane Austen,Emma,/wiki/Emma_(1996_theatrical_film),1996,
927,Emma,,1815,/wiki/Emma_(novel),Jane Austen,Emma,/wiki/Emma_(1996_TV_film),1996,
928,Emma,,1815,/wiki/Emma_(novel),Jane Austen,Emma,/wiki/Emma_(2009_TV_serial),2009,
929,Emma,,1815,/wiki/Emma_(novel),Jane Austen,Aisha,/wiki/Aisha_(film),2009,
930,Emil and the Detectives,,1929,/wiki/Emil_and_the_Detectives,Erich Kästner,Emil and the Detectives,/wiki/Emil_and_the_Detectives_(1931_film),1931,
931,Emil and the Detectives,,1929,/wiki/Emil_and_the_Detectives,Erich Kästner,Emil and the Detectives,/wiki/Emil_and_the_Detectives#1935_film,1935,
932,Emil and the Detectives,,1929,/wiki/Emil_and_the_Detectives,Erich Kästner,Emil and the Detectives,/wiki/Emil_and_the_Detectives#1954_film,1954,
933,Emil and the Detectives,,1929,/wiki/Emil_and_the_Detectives,Erich Kästner,Emil and the Detectives,/wiki/Emil_and_the_Detectives_(film),1964,
934,Emil and the Detectives,,1929,/wiki/Emil_and_the_Detectives,Erich Kästner,Emil and the Detectives,/wiki/Emil_and_the_Detectives_(2001_film),2001,
935,Emotional Arithmetic,,1990,,Matt Cohen,Emotional Arithmetic,/wiki/Emotional_Arithmetic_(film),2008,
936,Empire of the Sun,,1984,/wiki/Empire_of_the_Sun,J. G. Ballard,Empire of the Sun,/wiki/Empire_of_the_Sun_(film),1987,0-575-03483-1
937,The Enchanted April,,1922,/wiki/The_Enchanted_April,Elizabeth von Arnim,Enchanted April,/wiki/Enchanted_April_(1935_film),1935,
938,The Enchanted April,,1922,/wiki/The_Enchanted_April,Elizabeth von Arnim,Enchanted April,/wiki/Enchanted_April_(1992_film),1992,
939,The Enchanted Voyage,,1936,,Robert Nathan,Wake Up and Dream,/wiki/Wake_Up_and_Dream_(film),1946,
940,The End of the Affair,,1951,/wiki/The_End_of_the_Affair,Graham Greene,The End of the Affair,/wiki/The_End_of_the_Affair_(1955_film),1955,
941,The End of the Affair,,1951,/wiki/The_End_of_the_Affair,Graham Greene,The End of the Affair,/wiki/The_End_of_the_Affair_(1999_film),1999,
942,Endless Love,,1979,,Scott Spencer,Endless Love,/wiki/Endless_Love_(1981_film),1981,
943,Enduring Love,,1997,/wiki/Enduring_Love,Ian McEwan,Enduring Love,/wiki/Enduring_Love_(film),2004,0-224-05031-1
944,Los Enemigos de la Mujer,,1922,,Vicente Blasco Ibáñez,Enemies of Women,/wiki/Enemies_of_Women,1923,
945,The Enemy Below,,1956,,D. A. Rayner,The Enemy Below,/wiki/The_Enemy_Below,1957,
946,Enemy Mine,,1979,/wiki/Enemy_Mine_(novella),Barry B. Longyear,Enemy Mine,/wiki/Enemy_Mine_(film),1985,
947,The English Patient,,1992,/wiki/The_English_Patient,Michael Ondaatje,The English Patient,/wiki/The_English_Patient_(film),1996,0-7710-6886-7
948,Enigma,,1995,/wiki/Enigma_(novel),Robert Harris,Enigma,/wiki/Enigma_(2001_film),2001,0091779235
949,The Entity,,1978,,,The Entity,/wiki/The_Entity,1981,
950,Eragon,,2003,/wiki/Eragon,Christopher Paolini,Eragon,/wiki/Eragon_(film),2006,0-375-82668-8
951,Escape,,1939,,Grace Zaring Stone,Escape,/wiki/Escape_(1940_film),1940,
952,Escape to Witch Mountain,,1968,/wiki/Escape_to_Witch_Mountain,Alexander Key,Escape to Witch Mountain,/wiki/Escape_to_Witch_Mountain_(1975_film),1975,
953,Escape to Witch Mountain,,1968,/wiki/Escape_to_Witch_Mountain,Alexander Key,Return from Witch Mountain,/wiki/Return_from_Witch_Mountain,1978,
954,Escape to Witch Mountain,,1968,/wiki/Escape_to_Witch_Mountain,Alexander Key,Beyond Witch Mountain,/wiki/Beyond_Witch_Mountain,1982,
955,Escape to Witch Mountain,,1968,/wiki/Escape_to_Witch_Mountain,Alexander Key,Escape to Witch Mountain,/wiki/Escape_to_Witch_Mountain_(1995_film),1995,
956,Escape to Witch Mountain,,1968,/wiki/Escape_to_Witch_Mountain,Alexander Key,Race to Witch Mountain,/wiki/Race_to_Witch_Mountain,2009,
957,L'étoile du nord,The North Star,1854,/wiki/L%27%C3%A9toile_du_nord,Georges Simenon,L'Etoile du nord,/wiki/L%27%C3%A9toile_du_nord_(film),1982,
958,The Evening Star,,1992,,Larry McMurtry,The Evening Star,/wiki/The_Evening_Star,1996,
959,Everybody's All-American,,1981,/wiki/Everybody%27s_All-American,Frank Deford,Everybody's All-American,/wiki/Everybody%27s_All-American_(film),1988,978-0-670-30035-8
960,Everything Is Illuminated,,2002,/wiki/Everything_Is_Illuminated,Jonathan Safran Foer,Everything Is Illuminated,/wiki/Everything_Is_Illuminated_(film),2005,0-618-17387-0
961,"Evil Come, Evil Go",,1961,,Whit Masterson,The Yellow Canary,/wiki/The_Yellow_Canary,1963,
962,Evil Under the Sun,,1981,/wiki/Evil_Under_the_Sun,Agatha Christie,Evil Under the Sun,/wiki/Evil_Under_the_Sun_(1982_film),1982,
963,Evil Under the Sun,,1981,/wiki/Evil_Under_the_Sun,Agatha Christie,Evil Under the Sun,/wiki/Evil_Under_the_Sun_(2001_film),2001,
964,The Executioners,,1957,/wiki/The_Executioners_(MacDonald_novel),John D. MacDonald,Cape Fear,/wiki/Cape_Fear_(1962_film),1962,0449131904
965,The Executioners,,1957,/wiki/The_Executioners_(MacDonald_novel),John D. MacDonald,Cape Fear,/wiki/Cape_Fear_(1991_film),1991,0449131904
966,Executive Suite,,1952,,Cameron Hawley,Executive Suite,/wiki/Executive_Suite,1954,
967,Exit to Eden,,1984,/wiki/Exit_to_Eden,Anne Rice,Exit To Eden,/wiki/Exit_To_Eden_(film),1994,0-87795-609-X
968,Exit Wounds,,1990,,,Exit Wounds,/wiki/Exit_Wounds,2001,
969,Exodus,,1958,/wiki/Exodus_(Uris_novel),Leon Uris,Exodus,/wiki/Exodus_(1960_film),1960,
970,The Exorcist,,1971,/wiki/The_Exorcist_(novel),William Peter Blatty,The Exorcist,/wiki/The_Exorcist_(film),1973,978-0-06-010365-1
971,The Exorcist,,1971,/wiki/The_Exorcist_(novel),William Peter Blatty,Exorcist II: The Heretic,/wiki/Exorcist_II:_The_Heretic,1977,978-0-06-010365-1
972,The Exorcist,,1971,/wiki/The_Exorcist_(novel),William Peter Blatty,The Exorcist III,/wiki/The_Exorcist_III,1990,978-0-06-010365-1
973,The Exorcist,,1971,/wiki/The_Exorcist_(novel),William Peter Blatty,Exorcist: The Beginning,/wiki/Exorcist:_The_Beginning,2004,978-0-06-010365-1
974,The Exorcist,,1971,/wiki/The_Exorcist_(novel),William Peter Blatty,Dominion: Prequel to the Exorcist,/wiki/Dominion:_Prequel_to_the_Exorcist,2005,978-0-06-010365-1
975,Experiment Perilous,,1943,,,Experiment Perilous,/wiki/Experiment_Perilous,1944,
976,Extension du domaine de la lutte,Whatever,1994,/wiki/Extension_du_domaine_de_la_lutte,Michel Houellebecq,Extension du domaine de la lutte,/wiki/Extension_du_domaine_de_la_lutte#Film_adaptation,1999,
977,Extremely Loud and Incredibly Close,,2005,/wiki/Extremely_Loud_and_Incredibly_Close,Jonathan Safran Foer,Extremely Loud and Incredibly Close,/wiki/Extremely_Loud_and_Incredibly_Close_(film),2012,0-618-32970-6
978,The Eye of the Beholder,,1980,,Marc Behm,Deadly Circuit,/wiki/Deadly_Circuit,0,
979,The Eye of the Beholder,,1980,,Marc Behm,Mortelle randonnée,,1983,
980,The Eye of the Beholder,,1980,,Marc Behm,Eye of the Beholder,/wiki/Eye_of_the_Beholder_(film),1999,
981,Eye of the Needle,Storm Island,1978,/wiki/Eye_of_the_Needle_(novel),Ken Follett,Eye of the Needle,/wiki/Eye_of_the_Needle_(film),1981,
982,Eye of the Needle,Storm Island,1978,/wiki/Eye_of_the_Needle_(novel),Ken Follett,Fanaa,/wiki/Fanaa_(film),2006,
983,Fahrenheit 451,,1953,/wiki/Fahrenheit_451,Ray Bradbury,Fahrenheit 451,/wiki/Fahrenheit_451_(1966_film),1966,978-0-7432-4722-1
984,Fahrenheit 451,,1953,/wiki/Fahrenheit_451,Ray Bradbury,Fahrenheit 451,/wiki/Fahrenheit_451#Plans_for_second_film,2012,978-0-7432-4722-1
985,Fail-Safe,,1962,/wiki/Fail-Safe_(novel),Eugene Burdick,Fail-Safe,/wiki/Fail-Safe_(1964_film),1964,0-07-008927-2
986,Fail-Safe,,1962,/wiki/Fail-Safe_(novel),Eugene Burdick,Fail-Safe,/wiki/Fail_Safe_(2000_TV),2000,0-07-008927-2
987,The Fair Bride,,1953,/wiki/The_Fair_Bride,Bruce Marshall,The Angel Wore Red,/wiki/The_Angel_Wore_Red,1960,
988,The Fall of a Nation,,1916,/wiki/The_Fall_of_a_Nation_(novel),"Thomas Dixon, Jr.",The Fall of a Nation,/wiki/The_Fall_of_a_Nation,1916,
989,Falling Angel,,1978,/wiki/Falling_Angel,William Hjortsberg,Angel Heart,/wiki/Angel_Heart,1987,
990,False Witness,,1981,,Dorothy Uhnak,False Witness,/w/index.php?title=False_Witness_(1989_film)&action=edit&redlink=1,1989,
991,The Family Band: From the Missouri to the Black Hills,,1962,,,"The One and Only, Genuine, Original Family Band","/wiki/The_One_and_Only,_Genuine,_Original_Family_Band",1968,
992,Family Business,,1985,,Vincent Patrick,Family Business,/wiki/Family_Business_(film),1989,
993,The Fan,,1995,/wiki/The_Fan_(Abrahams_novel),Peter Abrahams,The Fan,/wiki/The_Fan_(1996_film),1996,
994,The Fan,,1978,,Bob Randall,The Fan,/wiki/The_Fan_(1981_film),1981,
995,Fantastic Mr Fox,,1970,/wiki/Fantastic_Mr_Fox,Roald Dahl,Fantastic Mr. Fox,/wiki/Fantastic_Mr._Fox_(film),2009,0-394-80497-X
996,Far from the Madding Crowd,,1874,/wiki/Far_from_the_Madding_Crowd,Thomas Hardy,Far from the Madding Crowd,/wiki/Far_from_the_Madding_Crowd_(1915_film),1915,
997,Far from the Madding Crowd,,1874,/wiki/Far_from_the_Madding_Crowd,Thomas Hardy,Far from the Madding Crowd,/wiki/Far_from_the_Madding_Crowd_(1967_film),1967,
998,Far from the Madding Crowd,,1874,/wiki/Far_from_the_Madding_Crowd,Thomas Hardy,Far from the Madding Crowd,/wiki/Far_from_the_Madding_Crowd_(1998_film),1998,
999,Far from the Madding Crowd,,1874,/wiki/Far_from_the_Madding_Crowd,Thomas Hardy,Far from the Madding Crowd,"/wiki/Far_from_the_Madding_Crowd#As_of_2008,_David_Nicholls_is_adapting_the_novel_for_BBC_Films.",2012,
1000,Farewell My Concubine,,1991,,Lilian Lee,Farewell My Concubine,/wiki/Farewell_My_Concubine_(film),1993,
1001,A Farewell to Arms,,1929,/wiki/A_Farewell_to_Arms,Ernest Hemingway,A Farewell to Arms,/wiki/A_Farewell_to_Arms_(1932_film),1932,
1002,A Farewell to Arms,,1929,/wiki/A_Farewell_to_Arms,Ernest Hemingway,A Farewell to Arms,/wiki/A_Farewell_to_Arms_(1957_film),1957,
1003,A Farewell to Arms,,1929,/wiki/A_Farewell_to_Arms,Ernest Hemingway,In Love and War,/wiki/In_Love_and_War_(1996_film),1996,
1004,Farewell to the King,L'Adieu au Roi,1969,,Pierre Schoendoerffer,Farewell to the King,/wiki/Farewell_to_the_King,1989,
1005,Fate Is the Hunter,,1961,/wiki/Fate_Is_the_Hunter,Ernest K. Gann,Face Is the Hunter,/wiki/Fate_Is_the_Hunter_(film),1964,0-671-63603-0
1006,Father Malachy's Miracle,,1931,/wiki/Father_Malachy%27s_Miracle,,Das Wunder des Malachias,/wiki/Das_Wunder_des_Malachias,1961,
1007,Father of Frankenstein,,1995,/wiki/Father_of_Frankenstein,[1],Gods and Monsters,/wiki/Gods_and_Monsters_(film),1998,0-525-93913-X
1008,Father of the Bride,,1949,/wiki/Father_of_the_Bride_(novel),Edward Streeter,Father of the Bride,/wiki/Father_of_the_Bride_(1950_film),1950,
1009,Father of the Bride,,1949,/wiki/Father_of_the_Bride_(novel),Edward Streeter,Father's Little Dividend,/wiki/Father%27s_Little_Dividend,1951,
1010,Father of the Bride,,1949,/wiki/Father_of_the_Bride_(novel),Edward Streeter,Father of the Bride,/wiki/Father_of_the_Bride_(1991_film),1991,
