imdbid,book_id,title,author,year,full_name,budget,revenue,runtime,poster_path,rating_average,vote_count,standardized_rating,normalized_rating,goodreads_scale_rating
tt1294226,6400090.0,The Last Song,Nicholas Sparks,2010.0,The Last Song 2010,0,0,107.0,/deOzvJHnSSl8FI1HEJjPGgOsS9U.jpg,5.9,73188.0,-0.61621479474862,0.535211267605634,2.95
tt0051369,1123579.0,Last Stand at Papago Wells,Louis L'Amour,1958.0,Apache Territory 1958,0,0,77.0,/22qwd8p4N2PWmudivSEXXALJ7LY.jpg,5.7,346.0,-0.814041385417638,0.507042253521127,2.85
tt0119501,288958.0,Last Stand at Saber River,Elmore Leonard,1997.0,Last Stand at Saber River 1997,0,0,96.0,/LYTzw4xWOX9RnfyAke0HE6ffzY.jpg,7.0,1437.0,0.47183145393098,0.690140845070423,3.5
tt0084237,11936.0,The Last Unicorn,Peter S. Beagle,1982.0,The Last Unicorn 1982,0,6455530,92.0,/m8HUHltLUdPBzsMKY3U7evgkQVX.jpg,7.5,22010.0,0.966397930603525,0.76056338028169,3.75
tt0039556,267418.0,The Late George Apley,John P. Marquand,1947.0,The Late George Apley 1947,0,0,93.0,/mRydciBbppdRbtsvWFhGAw5BIoV.jpg,7.1,654.0,0.570744749265489,0.704225352112676,3.55
tt0097441,391443.0,Lay This Laurel,Lincoln Kirstein,1989.0,Glory 1989,18000000,26828365,122.0,/6pDBbYmR9iqg3IF8lgyY9pWFiqT.jpg,7.9,112078.0,1.36205111194156,0.816901408450704,3.95
tt0097441,306842.0,One Gallant Rush,Peter Burchard,1989.0,Glory 1989,18000000,26828365,122.0,/6pDBbYmR9iqg3IF8lgyY9pWFiqT.jpg,7.9,112078.0,1.36205111194156,0.816901408450704,3.95
tt0375912,1131222.0,Layer Cake,J. J. Connolly,2004.0,Layer Cake 2004,6500000,11850214,105.0,/y6BzUkrx789OhVMDXZiBBVHu6OQ.jpg,7.3,150125.0,0.768571339934507,0.732394366197183,3.65
tt0037008,601799.0,Laura,Vera Caspary,1944.0,Laura 1944,1020000,2000000,88.0,/utpUn9TdBIx6x2QX91YhYzFZxg1.jpg,8.0,37808.0,1.46096440727607,0.830985915492958,4.0
tt0056170,601799.0,Laura,Vera Caspary,1962.0,Laura 1962,0,0,115.0,,8.0,32.0,1.46096440727607,0.830985915492958,4.0
